,Timestamp_rome,Open,High,Low,Close,Volume,Trades,fast_period,slow_period,macd,signal,hist,atr,Trade_Direction,stop_loss,price_slope,donchain_pos,sar,Rsi_9,Rsi_14,OBV,ema_50_slope,ema_200_slope,ema_gap,distance_from_ema_50,distance_from_ema_200
1525,2022-12-14 19:50:00+01:00,18317.17,18332.0,18293.01,18316.4,1266.15938,1.0,18313.025104715558,18267.62893373579,45.39617097976952,46.17743839707643,-0.781267417306907,44.01266152842084,-1,18426.431653821055,13.0626165413554,0.8779405882994604,18169.26044755322,84.61033931248272,79.23316782760344,29459.58393000003,4.213378474404746,2.5267943142963056,1.0812013573640906,0.010463125200377529,0.021047572138366232
1535,2022-12-14 20:40:00+01:00,17792.98,17869.86,17755.0,17828.23,3723.56548,0.0,17808.86615858045,17946.408175935634,-137.5420173551829,-148.82302459152154,11.281007236338638,109.98079516882181,1,17553.278012077946,-27.84543609022646,0.17485589609776994,18206.55070703062,33.57307750941082,34.373783581442325,8621.14832000003,3.157590675655333,2.4000235793952895,0.6711024166271309,0.012351513420798014,0.005602888136839461
1753,2022-12-15 14:50:00+01:00,17462.24,17517.56,17454.39,17513.1,1855.07837,0.0,17491.146619148458,17545.322544723706,-54.175925575247675,-60.994989470947246,6.819063895699571,40.36663496139204,1,17412.183412596518,-13.604714285716751,0.21949304620905946,17554.19228339787,32.790340099293495,31.643383261363624,-14965.951789999974,-0.4535167466107537,-0.7093306550349937,-0.45515449215135395,0.007124397637457513,0.011729329127393603
1778,2022-12-15 16:55:00+01:00,17420.21,17430.98,17409.0,17429.05,1172.11182,0.0,17416.742919802622,17417.63091628571,-0.8879964830885001,-1.0200963884128722,0.1320999053243721,33.865518279924295,1,17344.38620430019,-6.123406015038491,0.30909713503024483,17462.867778912732,37.501537288917405,35.684607910100915,-21830.102589999973,-3.6304240609511322,-1.7091122926064042,-0.7618597983717634,0.005799538199315695,0.013521148376794322
1799,2022-12-15 18:40:00+01:00,17423.98,17424.44,17405.18,17408.61,677.3914,0.0,17412.709617853616,17392.106222712828,20.603395140788052,21.052251011407378,-0.44885587061932597,26.677022702853588,-1,17475.302556757135,-0.523759398497361,0.6390057361376776,17351.530686253085,46.32681463120166,44.62984125381385,-19036.24876999997,-4.044309772608689,-2.253124105525847,-0.873731698980923,0.003126857882030588,0.011968749631340501
1963,2022-12-16 08:20:00+01:00,17467.83,17470.9,17454.16,17456.48,374.15942,0.0,17460.9355950231,17440.016282442,20.919312581099803,21.757373862941506,-0.8380612818417035,17.475991012292255,-1,17500.16997753073,3.9004135338340262,0.6604970914859798,17418.77813669751,65.54320599341659,64.61544885396646,-18450.56474999999,0.06844498393618617,-0.47935551351270184,-0.17231862929535086,0.002466081171529101,0.0007441772345857585
1970,2022-12-16 08:55:00+01:00,17525.74,17526.85,17499.19,17503.35,589.90188,1.0,17506.167805624413,17483.859007647367,22.308797977046197,23.8018279286535,-1.4930299516073013,21.349621030401153,-1,17556.724052576003,6.495112781953207,0.8039107303254259,17462.737478092182,65.0923290746018,65.59842471087482,-17142.71332999999,0.32136724173098197,-0.3737814012983123,-0.08124581330795477,0.004047773544202895,0.003237946106772267
1987,2022-12-16 10:20:00+01:00,17069.4,17069.4,17037.42,17037.88,1448.08384,0.0,17064.56974748875,17205.056518532936,-140.48677104418675,-141.9299885767275,1.443217532540757,58.27250519863944,1,16892.198737003404,-28.2886240601506,0.14988294429525575,17201.6350237952,14.715520844316151,16.9519620424361,-44177.42729999999,0.5425746674669318,-0.16019955778476858,-0.37462144189245417,0.01892093125100413,0.02275238096757426
2054,2022-12-16 15:55:00+01:00,17049.48,17053.11,17020.33,17029.59,1022.5083,1.0,17039.508964578385,17007.580977874182,31.92798670420234,32.98551587360746,-1.0575291694051216,37.33121861973086,-1,17122.918046549326,4.456345864660422,0.7151742572221671,16935.948729510405,55.76950346785936,54.548812978702465,-46444.81436000001,-3.1549869374761776,-2.821483484814977,-1.1113865395963527,3.5952379045786895e-05,0.011275128030259877
2073,2022-12-16 17:30:00+01:00,16869.69,16887.31,16859.83,16876.59,1205.58283,0.0,16875.800228785207,16905.34529982641,-29.54507104120421,-30.36045990039372,0.8153888591895111,44.39193061201506,1,16765.610173469962,-7.304120300751656,0.28854137277820313,16945.270542119502,36.27816454697704,37.39190285100096,-52555.732090000005,-1.9879776791752315,-2.4883137773692394,-1.1304094864305632,0.006053606974279168,0.0175561583176604
2079,2022-12-16 18:00:00+01:00,16810.64,16837.97,16793.23,16802.7,1734.91907,0.0,16812.62539666041,16845.980274831603,-33.35487817119429,-33.90217750157454,0.5472993303802554,48.38192274204574,1,16681.745193144885,-8.946774436090898,0.2784749990102542,16872.594351384534,27.601986156187046,30.84804248223906,-55642.90504,-2.133984551134144,-2.497767859503344,-1.1960320736364345,0.008657067584434143,0.020866963901858857
2155,2022-12-17 00:20:00+01:00,16590.29,16627.57,16550.75,16619.0,2765.51588,0.0,16615.344958936883,16680.520425419385,-65.17546648250209,-65.94563141309584,0.7701649305937508,52.48641208090688,1,16487.783969797732,-14.696556390977667,0.21246458923512776,16772.709071298632,28.24007820364926,29.69245247911382,-59983.31249999999,-0.5829273115274858,-1.8432221791389896,-1.042539227269845,0.010523735956571563,0.021169832032556554
3014,2022-12-19 23:55:00+01:00,16367.57,16420.27,16366.05,16416.82,779.34722,1.0,16393.14383075431,16460.60171601987,-67.45788526556134,-72.74105297921271,5.283167713651366,42.553942527675254,1,16310.435143680812,-15.08290225563977,0.40875986758339733,16424.709841919997,33.662122044335746,32.952169595001365,-81873.89922000006,-0.8366632388869396,-0.9037733768254769,-0.529973817553745,0.008351192326162925,0.013723662318799502
3063,2022-12-20 04:00:00+01:00,16721.93,16829.0,16712.52,16746.85,3608.84074,0.0,16741.195978635475,16685.230200136964,55.96577849851019,56.40771251150617,-0.44193401299597923,50.375076716081516,-1,16872.787691790203,12.343368421051848,0.7083931705760297,16705.146399999998,75.65717064395933,74.54618527470393,-72988.10035000007,0.016393431965071186,-1.0462864658880062,-0.203005547239793,0.01102514382621138,0.009013386027443296
3087,2022-12-20 06:00:00+01:00,16792.03,16814.03,16787.2,16788.91,823.05293,0.0,16802.08132104853,16799.0194375629,3.061883485628641,4.2309648359323715,-1.1690813503037303,36.30352445522822,-1,16879.66881113807,6.771473684210639,0.5569143022862365,16757.528991379084,66.35505132233787,66.33579731116004,-70308.85935000004,4.352207165151827,0.6818603736925526,0.2914177413311386,0.006826379260251646,0.009712253443944335
