,Timestamp_rome,Open,High,Low,Close,Volume,Trades,fast_period,slow_period,macd,signal,hist,atr,Trade_Direction,stop_loss,recent_high_fast,recent_low_fast,recent_high_med,recent_low_med,recent_high_slow,recent_low_slow,from_high_fast,from_low_fast,from_high_med,from_low_med,from_high_slow,from_low_slow,sar,Rsi_9,Rsi_14,volatility_15min,high_volatility_15min,volatility_1h,high_volatility,trend_strenght_4h,strong_trend,price_change_4h,range_bound,ema_50,ema_200,ema_50_slope,ema_200_slope,ratio_ema_50,ratio_ema_200,above_ema_50,above_ema_200,distance_from_ema_50,distance_from_ema_200
1525,2022-12-14 19:50:00+01:00,18317.17,18332.0,18293.01,18316.4,1266.15938,1.0,18313.025104715558,18267.62893373579,45.39617097976952,46.17743839707643,-0.781267417306907,44.01266152842084,-1,18426.431653821055,18349.97,18181.31,18349.97,18074.94,18349.97,17807.24,-0.0018294307838105297,0.007430157672906965,-0.0018294307838105297,0.01335882719389402,-0.0018294307838105297,0.028592864475348218,18169.26044755322,84.61033931248272,79.23316782760344,0.0002702545252829923,0,0.0014299060492554343,1,0.014062361590929218,1,0.018052128147452634,0,18124.753213579806,17930.88424968483,4.213378474404746,2.5267943142963056,1.0105737597727182,1.0215000969805461,1,1,0.010463125200377529,0.021047572138366232
1535,2022-12-14 20:40:00+01:00,17792.98,17869.86,17755.0,17828.23,3723.56548,0.0,17808.86615858045,17946.408175935634,-137.5420173551829,-148.82302459152154,11.281007236338638,109.98079516882181,1,17553.278012077946,17967.6,17709.62,18387.95,17709.62,18387.95,17709.62,-0.007756739909615029,0.006697489838855977,-0.030439499781106712,0.006697489838855977,-0.030439499781106712,0.006697489838855977,18206.55070703062,33.57307750941082,34.373783581442325,0.007262490012153272,1,0.005043230903951057,1,0.013220177250557463,1,0.0380480844144372,0,18048.435622114073,17928.119578367845,3.157590675655333,2.4000235793952895,0.9877991851080842,0.9944283293107676,0,0,0.012351513420798014,0.005602888136839461
1753,2022-12-15 14:50:00+01:00,17462.24,17517.56,17454.39,17513.1,1855.07837,0.0,17491.146619148458,17545.322544723706,-54.175925575247675,-60.994989470947246,6.819063895699571,40.36663496139204,1,17412.183412596518,17582.72,17454.39,17721.87,17454.39,17746.0,17454.39,-0.003959569395406547,0.003363623707273593,-0.011780359521878924,0.003363623707273593,-0.013124084300687561,0.003363623707273593,17554.19228339787,32.790340099293495,31.643383261363624,0.002520565387962087,1,0.001791519561884677,1,0.009778333646197956,1,0.015508961862834141,0,17637.870288264556,17718.516913940955,-0.4535167466107537,-0.7093306550349937,0.9929260003489438,0.9884066530546168,0,0,0.007124397637457513,0.011729329127393603
1778,2022-12-15 16:55:00+01:00,17420.21,17430.98,17409.0,17429.05,1172.11182,0.0,17416.742919802622,17417.63091628571,-0.8879964830885001,-1.0200963884128722,0.1320999053243721,33.865518279924295,1,17344.38620430019,17458.62,17374.89,17550.11,17374.89,17736.39,17374.89,-0.001693719205756223,0.0031171420365826694,-0.006897962462913412,0.0031171420365826694,-0.01732821617025788,0.0031171420365826694,17462.867778912732,37.501537288917405,35.684607910100915,0.0009099353872501198,1,0.0008690920040976966,1,0.01643761713241243,1,0.02014108628984373,0,17530.130441252782,17664.710771116566,-3.6304240609511322,-1.7091122926064042,0.994233902503377,0.986659234098421,0,0,0.005799538199315695,0.013521148376794322
1799,2022-12-15 18:40:00+01:00,17423.98,17424.44,17405.18,17408.61,677.3914,0.0,17412.709617853616,17392.106222712828,20.603395140788052,21.052251011407378,-0.44885587061932597,26.677022702853588,-1,17475.302556757135,17443.36,17375.29,17446.37,17341.77,17726.0,17341.77,-0.00199216206052045,0.0019176658346421675,-0.002164347081943029,0.0038542778505308364,-0.017905336793410775,0.0038542778505308364,17351.530686253085,46.32681463120166,44.62984125381385,0.0007675479033094226,1,0.0008213427547669427,1,0.005080722914288849,1,0.011967641299334073,0,17463.044249393697,17616.96929451965,-4.044309772608689,-2.253124105525847,0.9968828888814396,0.9881728070795658,0,0,0.003126857882030588,0.011968749631340501
1963,2022-12-16 08:20:00+01:00,17467.83,17470.9,17454.16,17456.48,374.15942,0.0,17460.9355950231,17440.016282442,20.919312581099803,21.757373862941506,-0.8380612818417035,17.475991012292255,-1,17500.16997753073,17495.0,17415.57,17495.0,17381.54,17495.0,17289.07,-0.0022017719348385503,0.0023490474328431315,-0.0022017719348385503,0.004311470675210522,-0.0022017719348385503,0.009682996251388874,17418.77813669751,65.54320599341659,64.61544885396646,0.0007219756114075824,1,0.000918449407059524,1,0.0022719299806912563,0,0.00700599433562776,0,17413.430903350825,17443.489284987998,0.06844498393618617,-0.47935551351270184,1.002472177762562,1.0007447314467743,1,1,0.002466081171529101,0.0007441772345857585
1970,2022-12-16 08:55:00+01:00,17525.74,17526.85,17499.19,17503.35,589.90188,1.0,17506.167805624413,17483.859007647367,22.308797977046197,23.8018279286535,-1.4930299516073013,21.349621030401153,-1,17556.724052576003,17531.73,17446.63,17531.73,17381.54,17531.73,17298.34,-0.001618779207756509,0.003251057654114148,-0.001618779207756509,0.007008009647016183,-0.001618779207756509,0.011851426206213914,17462.737478092182,65.0923290746018,65.59842471087482,0.0018917154452109614,1,0.0012688820543154346,1,0.004452603501941876,1,0.009085689310903276,0,17432.500402935075,17446.675096012026,0.32136724173098197,-0.3737814012983123,1.0040642246050369,1.0032484644596222,1,1,0.004047773544202895,0.003237946106772267
1987,2022-12-16 10:20:00+01:00,17069.4,17069.4,17037.42,17037.88,1448.08384,0.0,17064.56974748875,17205.056518532936,-140.48677104418675,-141.9299885767275,1.443217532540757,58.27250519863944,1,16892.198737003404,17433.09,16950.81,17531.73,16950.81,17531.73,16950.81,-0.02267010610281936,0.005136627689178257,-0.02816892571354901,0.005136627689178257,-0.02816892571354901,0.005136627689178257,17201.6350237952,14.715520844316151,16.9519620424361,0.0027612727414334268,1,0.003650366698600445,1,0.019995950653187267,1,0.034095791260414926,0,17360.25255614286,17425.532336639815,0.5425746674669318,-0.16019955778476858,0.9814304224491949,0.9777537736494445,0,0,0.01892093125100413,0.02275238096757426
2054,2022-12-16 15:55:00+01:00,17049.48,17053.11,17020.33,17029.59,1022.5083,1.0,17039.508964578385,17007.580977874182,31.92798670420234,32.98551587360746,-1.0575291694051216,37.33121861973086,-1,17122.918046549326,17085.0,16990.22,17085.0,16890.46,17531.73,16890.46,-0.003243195785776989,0.0023172154333492433,-0.003243195785776989,0.008237194250482286,-0.02864178264210089,0.008237194250482286,16935.948729510405,55.76950346785936,54.548812978702465,0.001072233741566762,1,0.0015308253282039796,1,0.0020907305258424103,0,0.011423645548718487,0,17030.202254274674,17221.600807552833,-3.1549869374761776,-2.821483484814977,0.9999640489134813,0.9888505830730542,0,0,3.5952379045786895e-05,0.011275128030259877
2073,2022-12-16 17:30:00+01:00,16869.69,16887.31,16859.83,16876.59,1205.58283,0.0,16875.800228785207,16905.34529982641,-29.54507104120421,-30.36045990039372,0.8153888591895111,44.39193061201506,1,16765.610173469962,16979.02,16805.0,17068.7,16805.0,17489.57,16805.0,-0.006032739227587946,0.004260041654269572,-0.011255104372330673,0.004260041654269572,-0.035048317368580224,0.004260041654269572,16945.270542119502,36.27816454697704,37.39190285100096,0.0018676115429203178,1,0.0021355608020119433,1,0.007197507609297937,1,0.016591029348938382,0,16978.75424292605,17172.878085902244,-1.9879776791752315,-2.4883137773692394,0.993982818676546,0.9827467426007365,0,0,0.006053606974279168,0.0175561583176604
